Date,Orders
2018-01-01,1.2661713455515653
2018-02-01,-0.6177051469979102
2018-03-01,0.8829064720242873
2018-04-01,0.6936065903242012
2018-05-01,1.3237907426266409
2018-06-01,0.7667733674809651
2018-07-01,0.33740580747284016
2018-08-01,0.9653497032793592
2018-09-01,0.13511064589121805
2018-10-01,0.7432506742737998
2018-11-01,0.05499907359710061
2018-12-01,-0.036089755527027347
2019-01-01,0.3771031525805516
2019-02-01,-0.07645917758351493
2019-03-01,0.35160903365697616
2019-04-01,0.3689038138054825
2019-05-01,0.3249499813555221
2019-06-01,0.4399647498560811
2019-07-01,0.21199624883120996
2019-08-01,0.41917516957393874
2019-09-01,0.7807973731454275
2019-10-01,1.4717372816172314
2019-11-01,-0.34327372624764774
2019-12-01,-0.19814991044191707
2020-01-01,0.26509032778452607
2020-02-01,-0.3827918508356855
2020-03-01,0.8417771549643839
2020-04-01,-0.4641131616376
2020-05-01,-0.3269646589573464
2020-06-01,0.7632785673473291
2020-07-01,2.182212226733462
2020-08-01,2.548135722777118
2020-09-01,2.3686911774538855
2020-10-01,1.4218243668881223
2020-11-01,-0.4784059980815729
2020-12-01,-0.03214690409420724
2021-01-01,-0.2622212462252437
2021-02-01,-0.5987077719125043
2021-03-01,0.18910082744290235
2021-04-01,-0.7604990960478836
2021-05-01,-0.8876112496264134
2021-06-01,-1.3693112013792414
2021-07-01,-0.9804474788173593
2021-08-01,0.6292664237613642
2021-09-01,-0.07421892108759442
2021-10-01,1.004867827867397
2021-11-01,-0.7172173405466993
2021-12-01,-1.4760370208448945
2022-01-01,-0.3216328484970556
2022-02-01,-1.563138193406284
2022-03-01,-0.13152468225324107
2022-04-01,-1.4676136564202333
2022-05-01,-1.4467344658782544
2022-06-01,-1.0678174821582591
2022-07-01,-1.56578169607147
2022-08-01,-0.8493028635461726
2022-09-01,-1.3153658249574756
2022-10-01,-1.2496366993671677
2022-11-01,-1.3215937380161347
2022-12-01,-1.7473320825008682
